0.000,1.000,0.000
0.002,0.998,0.000
0.007,0.993,0.000
0.016,0.983,0.000
0.029,0.971,0.000
0.045,0.955,0.001
0.064,0.935,0.001
0.085,0.913,0.002
0.109,0.887,0.003
0.135,0.859,0.005
0.163,0.829,0.008
0.192,0.796,0.012
0.222,0.762,0.016
0.252,0.725,0.022
0.282,0.688,0.029
0.312,0.650,0.038
0.341,0.611,0.048
0.368,0.571,0.060
0.394,0.532,0.073
0.417,0.493,0.089
0.438,0.454,0.106
0.456,0.416,0.126
0.471,0.379,0.148
0.483,0.343,0.171
0.491,0.309,0.197
0.496,0.276,0.225
0.497,0.246,0.255
0.495,0.216,0.286
0.488,0.189,0.319
0.479,0.164,0.354
0.465,0.141,0.390
0.449,0.120,0.427
0.430,0.101,0.465
0.408,0.084,0.504
0.383,0.069,0.543
0.357,0.056,0.583
0.329,0.045,0.622
0.300,0.035,0.660
0.270,0.027,0.698
0.240,0.020,0.735
0.210,0.015,0.770
0.180,0.011,0.804
0.152,0.007,0.836
0.125,0.005,0.865
0.099,0.003,0.892
0.076,0.002,0.916
0.056,0.001,0.938
0.038,0.001,0.956
0.024,0.000,0.970
0.013,0.000,0.982
0.005,0.000,0.990
0.001,0.000,0.994
0.000,0.000,0.994
0.003,0.000,0.991
0.010,0.000,0.984
0.020,0.000,0.974
0.034,0.000,0.960
0.051,0.001,0.943
0.070,0.002,0.923
0.093,0.003,0.899
0.117,0.004,0.873
0.144,0.007,0.844
0.172,0.010,0.813
0.201,0.014,0.780
0.230,0.019,0.745
0.260,0.025,0.709
0.290,0.033,0.671
0.319,0.042,0.633
0.347,0.052,0.594
0.373,0.065,0.555
0.398,0.079,0.516
0.420,0.095,0.477
0.440,0.114,0.439
0.457,0.134,0.402
0.471,0.156,0.365
0.481,0.181,0.330
0.488,0.207,0.297
0.491,0.235,0.265
0.491,0.266,0.235
0.487,0.298,0.207
0.480,0.331,0.180
0.469,0.366,0.156
0.455,0.402,0.134
0.437,0.440,0.114
0.417,0.478,0.096
0.395,0.516,0.079
0.370,0.555,0.065
0.343,0.594,0.053
0.315,0.633,0.042
0.286,0.671,0.033
0.256,0.708,0.025
0.226,0.744,0.019
0.197,0.779,0.014
0.168,0.812,0.010
0.140,0.842,0.007
0.114,0.871,0.005
0.090,0.896,0.003
0.068,0.919,0.002
0.049,0.939,0.001
0.032,0.956,0.001
0.019,0.970,0.000
0.009,0.980,0.000
0.003,0.986,0.000
0.000,0.989,0.000
0.001,0.988,0.000
0.005,0.984,0.000
0.013,0.976,0.000
0.025,0.964,0.000
0.039,0.949,0.001
0.057,0.931,0.001
0.077,0.910,0.002
0.100,0.885,0.003
0.125,0.858,0.005
0.152,0.829,0.008
0.180,0.798,0.011
0.209,0.764,0.016
0.238,0.729,0.021
0.268,0.692,0.028
0.297,0.655,0.036
0.326,0.617,0.046
0.353,0.578,0.057
0.378,0.539,0.070
0.402,0.500,0.085
0.423,0.462,0.102
0.442,0.424,0.121
0.457,0.388,0.142
0.470,0.352,0.165
0.479,0.318,0.190
0.484,0.285,0.217
0.486,0.254,0.246
0.485,0.225,0.277
0.480,0.197,0.309
0.471,0.172,0.343
0.459,0.148,0.378
0.444,0.127,0.415
0.426,0.108,0.452
0.405,0.090,0.490
0.381,0.075,0.529
0.356,0.061,0.567
0.329,0.049,0.606
0.301,0.039,0.644
0.272,0.031,0.682
0.242,0.024,0.718
0.213,0.018,0.753
0.184,0.013,0.787
0.156,0.009,0.819
0.129,0.006,0.848
0.104,0.004,0.876
0.081,0.003,0.900
0.060,0.002,0.922
0.042,0.001,0.941
0.027,0.001,0.956
0.015,0.000,0.968
0.006,0.000,0.977
0.001,0.000,0.982
0.000,0.000,0.984
0.002,0.000,0.981
0.008,0.000,0.976
0.017,0.000,0.967
0.029,0.000,0.954
0.045,0.001,0.938
0.063,0.002,0.919
0.084,0.003,0.896
0.108,0.004,0.871
0.133,0.006,0.844
0.160,0.009,0.814
0.188,0.013,0.782
0.217,0.018,0.748
0.246,0.024,0.713
0.276,0.031,0.676
0.304,0.040,0.639
0.332,0.050,0.600
0.358,0.062,0.562
0.383,0.076,0.523
0.405,0.092,0.485
0.425,0.110,0.447
0.443,0.129,0.410
0.457,0.151,0.374
0.468,0.174,0.339
0.476,0.200,0.306
0.480,0.227,0.274
0.481,0.257,0.243
0.478,0.288,0.215
0.472,0.321,0.188
0.462,0.355,0.164
0.449,0.390,0.141
0.433,0.427,0.120
0.414,0.464,0.102
0.392,0.502,0.085
0.368,0.541,0.070
0.343,0.579,0.058
0.316,0.617,0.046
0.287,0.655,0.037
0.258,0.692,0.029
0.229,0.728,0.022
0.200,0.762,0.017
0.172,0.795,0.012
0.144,0.826,0.009
0.118,0.854,0.006
0.094,0.880,0.004
0.072,0.904,0.003
0.052,0.924,0.002
0.036,0.942,0.001
0.022,0.956,0.001
0.011,0.967,0.000
0.004,0.974,0.000
0.000,0.978,0.000
0.000,0.978,0.000
0.004,0.974,0.000
0.011,0.968,0.000
0.021,0.957,0.000
0.034,0.943,0.001
0.051,0.926,0.001
0.070,0.906,0.002
0.092,0.883,0.003
0.116,0.857,0.005
0.141,0.829,0.008
0.168,0.799,0.011
0.197,0.766,0.015
0.225,0.732,0.020
0.254,0.697,0.027
0.283,0.660,0.035
0.311,0.622,0.044
0.338,0.584,0.055
0.363,0.546,0.068
0.387,0.508,0.082
0.408,0.470,0.099
0.427,0.433,0.117
0.443,0.396,0.137
0.456,0.361,0.159
0.466,0.326,0.184
0.473,0.294,0.210
0.476,0.262,0.238
0.475,0.233,0.268
0.471,0.205,0.299
0.463,0.180,0.332
0.452,0.156,0.367
0.438,0.134,0.402
0.421,0.114,0.439
0.402,0.096,0.476
0.380,0.080,0.514
0.355,0.066,0.552
0.329,0.054,0.591
0.302,0.043,0.628
0.274,0.034,0.665
0.245,0.027,0.702
0.216,0.021,0.737
0.188,0.015,0.770
0.160,0.011,0.802
0.133,0.008,0.832
0.108,0.006,0.860
0.085,0.004,0.884
0.064,0.003,0.907
0.045,0.002,0.926
0.030,0.001,0.942
0.017,0.001,0.955
0.008,0.000,0.964
0.002,0.000,0.970
0.000,0.000,0.973
0.001,0.000,0.972
0.006,0.000,0.967
0.014,0.000,0.959
0.025,0.001,0.947
0.039,0.001,0.933
0.057,0.002,0.915
0.077,0.003,0.894
0.099,0.004,0.870
0.123,0.006,0.843
0.149,0.009,0.814
0.177,0.013,0.783
0.205,0.017,0.751
0.233,0.023,0.716
0.262,0.030,0.680
0.290,0.039,0.644
0.317,0.049,0.606
0.344,0.060,0.568
0.368,0.073,0.530
0.391,0.088,0.493
0.411,0.105,0.455
0.429,0.124,0.418
0.444,0.145,0.382
0.455,0.168,0.348
0.464,0.193,0.314
0.469,0.220,0.282
0.470,0.248,0.252
0.469,0.279,0.223
0.463,0.311,0.196
0.455,0.344,0.171
0.443,0.379,0.148
0.428,0.414,0.127
0.410,0.451,0.108
0.390,0.488,0.091
0.367,0.526,0.076
0.342,0.564,0.063
0.316,0.602,0.051
0.289,0.639,0.041
0.260,0.676,0.032
0.232,0.711,0.025
0.203,0.746,0.019
0.175,0.778,0.014
0.148,0.809,0.011
0.122,0.838,0.008
0.098,0.864,0.005
0.076,0.888,0.004
0.056,0.909,0.003
0.039,0.927,0.002
0.025,0.942,0.001
0.014,0.954,0.001
0.006,0.962,0.001
0.001,0.966,0.000
0.000,0.968,0.000
0.002,0.965,0.000
0.008,0.959,0.000
0.017,0.950,0.000
0.030,0.937,0.001
0.045,0.922,0.001
0.063,0.903,0.002
0.084,0.881,0.003
0.106,0.856,0.005
0.131,0.829,0.008
0.157,0.799,0.011
0.185,0.768,0.015
0.213,0.735,0.020
0.241,0.700,0.026
0.269,0.664,0.034
0.297,0.628,0.043
0.324,0.590,0.053
0.349,0.553,0.065
0.373,0.515,0.079
0.394,0.478,0.095
0.413,0.441,0.113
0.430,0.404,0.132
0.443,0.369,0.154
0.454,0.335,0.177
0.461,0.302,0.203
0.465,0.271,0.230
0.465,0.241,0.259
0.462,0.213,0.290
0.455,0.187,0.322
0.446,0.163,0.356
0.433,0.141,0.390
0.417,0.121,0.426
